Area_name,Inner/_Outer_London
City of London,Inner London
Barking and Dagenham,Outer London
Barnet,Outer London
Bexley,Outer London
Brent,Outer London
Bromley,Outer London
Camden,Inner London
Croydon,Outer London
Ealing,Outer London
Enfield,Outer London
Greenwich,Outer London
Hackney,Inner London
Hammersmith and Fulham,Inner London
Haringey,Inner London
Harrow,Outer London
Havering,Outer London
Hillingdon,Outer London
Hounslow,Outer London
Islington,Inner London
Kensington and Chelsea,Inner London
Kingston upon Thames,Outer London
Lambeth,Inner London
Lewisham,Inner London
Merton,Outer London
Newham,Inner London
Redbridge,Outer London
Richmond upon Thames,Outer London
Southwark,Inner London
Sutton,Outer London
Tower Hamlets,Inner London
Waltham Forest,Outer London
Wandsworth,Inner London
Westminster,Inner London
Inner London,
Outer London,
London,
England,
United Kingdom,
